id (lat long al) 	 	 komsu (yatay km)
46 (37,5858 36,9371 0562)	38 (180.0)  58 (240.0)  44 (148.0)  2 (120.0)  27 (70.0)  80 (79.0)  1 (157.0)  
47 (37,3212 40,7245 0938)	63 (172.0)  21 (79.0)  72 (72.0)  56 (128.0)  73 (157.0)  
48 (37,2153 28,3636 0659)	7 (211.0)  15 (153.0)  20 (89.0)  9 (85.0)  
49 (38,9462 41,7539 1334)	13 (69.0)  72 (130.0)  21 (175.0)  12 (86.0)  25 (114.0)  4 (141.0)  
50 (38,6939 34,6857 1197)	66 (125.0)  40 (67.0)  68 (67.0)  51 (81.0)  38 (69.0)  
51 (37,9667 34,6833 1239)	42 (193.0)  33 (130.0)  1 (121.0)  38 (110.0)  50 (81.0)  68 (72.0)  
52 (40,9839 37,8764 0025)	55 (134.0)  60 (134.0)  58 (156.0)  28 (44.0)  
53 (41,0201 40,5234 0011)	61 (68.0)  69 (89.0)  25 (140.0)  8 (110.0)  
54 (40,6940 30,4358 0041)	41 (50.0)  16 (125.0)  11 (77.0)  14 (97.0)  81 (63.0)  
55 (41,2928 36,3313 0010)	57 (127.0)  19 (142.0)  5 (83.0)  60 (110.0)  52 (134.0)  
56 (37,9333 41,9500 0887)	72 (72.0)  13 (53.0)  65 (142.0)  73 (74.0)  47 (128.0)  
57 (42,0231 35,1531 0027)	37 (134.0)  19 (165.0)  55 (127.0)  
58 (39,7477 37,0179 1313)	60 (75.0)  52 (156.0)  28 (174.0)  24 (212.0)  44 (191.0)  46 (240.0)  38 (174.0)  66 (188.0)  
59 (40,9833 27,5167 0028)	17 (131.0)  22 (111.0)  39 (87.0)  34 (123.0)  
60 (40,3167 36,5500 0630)	5 (71.0)  52 (134.0)  55 (110.0)  58 (75.0)  66 (158.0)  
61 (41,0015 39,7178 0036)	28 (112.0)  29 (65.0)  69 (93.0)  53 (68.0)  
62 (39,3074 39,4388 0922)	24 (49.0)  12 (118.0)  23 (72.0)  
63 (37,1591 38,7969 0527)	27 (126.0)  2 (81.0)  21 (152.0)  47 (172.0)  
64 (38,6823 29,4082 0915)	20 (105.0)  45 (172.0)  43 (96.0)  3 (100.0)  
65 (38,4891 43,4089 1728)	4 (140.0)  13 (112.0)  56 (142.0)  73 (144.0)  30 (105.0)  
66 (39,8181 34,8147 1317)	58 (188.0)  60 (158.0)  5 (127.0)  19 (82.0)  71 (111.0)  40 (93.0)  50 (125.0)  38 (134.0)  
67 (41,4564 31,7987 0010)	81 (87.0)  14 (100.0)  78 (74.0)  74 (57.0)  
68 (38,3687 34,0370 1228)	6 (200.0)  50 (67.0)  42 (147.0)  51 (72.0)  40 (87.0)  
69 (40,2552 40,2249 1555)	24 (83.0)  29 (64.0)  61 (93.0)  53 (89.0)  25 (97.0)  
70 (37,1759 33,2287 1063)	42 (101.0)  7 (226.0)  33 (132.0)  
71 (39,8468 33,5153 0746)	6 (57.0)  40 (96.0)  66 (111.0)  19 (145.0)  18 (84.0)  
72 (37,8812 41,1351 0570)	47 (72.0)  21 (79.0)  49 (130.0)  13 (104.0)  56 (72.0)  
73 (37,4187 42,4918 1343)	47 (157.0)  56 (74.0)  65 (144.0)  30 (111.0)  
74 (41,5811 32,4610 0012)	67 (57.0)  78 (44.0)  37 (112.0)  
75 (41,1105 42,7022 1799)	36 (64.0)  25 (181.0)  8 (74.0)  
76 (39,8880 44,0048 0860)	36 (112.0)  4 (84.0)  
77 (40,6500 29,2667 0008)	16 (46.0)  41 (57.0)  
78 (41,2061 32,6204 0264)	67 (74.0)  74 (44.0)  37 (99.0)  18 (107.0)  14 (112.0)  
79 (36,7184 37,1212 0660)	31 (77.0)  27 (45.0)  
80 (37,2130 36,1763 0121)	31 (92.0)  27 (108.0)  1 (79.0)  46 (79.0)  
81 (40,8438 31,1565 0149)	54 (63.0)  67 (87.0)  14 (46.0)  
