yolcu sayisi : 37	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 3700.0	  kar : -Infinity
yolcu sayisi : 38	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 3800.0	  kar : -Infinity
yolcu sayisi : 39	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 3900.0	  kar : -Infinity
yolcu sayisi : 40	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4000.0	  kar : -Infinity
yolcu sayisi : 41	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4100.0	  kar : -Infinity
yolcu sayisi : 42	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4200.0	  kar : -Infinity
yolcu sayisi : 43	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4300.0	  kar : -Infinity
yolcu sayisi : 44	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4400.0	  kar : -Infinity
yolcu sayisi : 45	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4500.0	  kar : -Infinity
yolcu sayisi : 46	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4600.0	  kar : -Infinity
yolcu sayisi : 47	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4700.0	  kar : -Infinity
yolcu sayisi : 48	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4800.0	  kar : -Infinity
yolcu sayisi : 49	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 4900.0	  kar : -Infinity
yolcu sayisi : 50	  yol: 	  maliyet km : 1.7976931348623157E308	  maliyet tl : Infinity	 yolcu fiyati : 100.0	 gelir : 5000.0	  kar : -Infinity
