1,500,350
2,650,310
3,250,240
4,880,170
5,510,120
6,365,165
7,250,360
8,810,80
9,110,305
10,115,170
11,220,155
12,760,220
13,840,260
14,310,120
15,215,325
16,170,150
17,60,145
18,390,110
19,460,130
20,170,300
21,750,280
22,55,45
23,680,250
24,680,180
25,800,160
26,260,180
27,610,350
28,650,110
29,700,130
30,940,300
31,540,410
32,265,300
33,440,365
34,175,85
35,75,275
36,880,120
37,410,61
38,510,250
39,96,40
40,430,210
41,220,105
42,345,300
43,200,200
44,630,260
45,110,230
46,580,300
47,780,330
48,130,340
49,820,220
50,460,250
51,460,300
52,600,110
53,770,80
54,250,110
55,530,80
56,850,280
57,470,50
58,580,180
59,91,83
60,540,140
61,710,100
62,700,210
63,680,340
64,180,255
65,920,250
66,480,180
67,320,75
68,420,275
69,740,140
70,385,345
71,410,175
72,810,290
73,870,310
74,350,50
75,870,60
76,930,140
77,180,115
78,350,90
79,580,380
80,550,350
81,280,100
